"COM";"Région";"Commune";"PTOT";"Médecin généraliste";"Masseur kinésithérapeute";"Pédicure-podologue";"Diététicien";"LIBGEO";"Boulodrome";"Tennis";"Athlétisme";"Plateaux et terrains de jeux extérieurs";"Salles spécialisées";"Terrains de grands jeux";"Salles de combat";"Salles de remise en forme";"Salles multisports (gymnase)"
"57221";"Grand Est";"Florange";"11974";"8";"6";"3";"0";"Florange";"4";"1";"1";"4";"1";"5";"2";"0";"3"
"57240";"Grand Est";"Freyming-Merlebach";"13147";"8";"7";"2";"0";"Freyming-Merlebach";"2";"1";"1";"14";"1";"3";"2";"2";"3"
"57306";"Grand Est";"Hayange";"16182";"12";"11";"3";"0";"Hayange";"3";"2";"2";"6";"2";"3";"1";"2";"6"
"57433";"Grand Est";"Maizières-lès-Metz";"11890";"7";"3";"1";"0";"Maizières-lès-Metz";"4";"2";"1";"7";"0";"5";"1";"2";"5"
"57447";"Grand Est";"Marly";"10186";"11";"9";"4";"0";"Marly";"2";"2";"1";"3";"3";"3";"1";"2";"2"
"57606";"Grand Est";"Saint-Avold";"15358";"20";"18";"8";"2";"Saint-Avold";"6";"4";"3";"10";"4";"6";"2";"1";"11"
"57630";"Grand Est";"Sarrebourg";"12661";"17";"16";"6";"2";"Sarrebourg";"2";"1";"2";"8";"6";"4";"4";"5";"5"
"57660";"Grand Est";"Stiring-Wendel";"11180";"6";"12";"1";"0";"Stiring-Wendel";"3";"2";"0";"3";"2";"4";"2";"3";"5"
"57751";"Grand Est";"Woippy";"14414";"13";"14";"3";"1";"Woippy";"1";"1";"1";"9";"4";"6";"2";"2";"4"
"57757";"Grand Est";"Yutz";"17683";"22";"21";"5";"3";"Yutz";"5";"1";"2";"6";"2";"7";"1";"6";"2"
"59008";"Hauts-de-France";"Aniche";"10057";"9";"10";"2";"1";"Aniche";"1";"1";"1";"1";"1";"2";"2";"1";"4"
"59011";"Hauts-de-France";"Annœullin";"10879";"11";"14";"5";"0";"Annœullin";"0";"1";"0";"2";"2";"1";"0";"2";"2"
"59014";"Hauts-de-France";"Anzin";"13504";"11";"30";"5";"2";"Anzin";"3";"1";"1";"5";"1";"3";"1";"2";"3"
"59043";"Hauts-de-France";"Bailleul";"15098";"22";"24";"5";"4";"Bailleul";"1";"1";"0";"2";"2";"7";"1";"1";"3"
"59112";"Hauts-de-France";"Bruay-sur-l'Escaut";"11363";"7";"8";"2";"1";"Bruay-sur-l'Escaut";"2";"0";"1";"1";"1";"3";"1";"1";"2"
"59139";"Hauts-de-France";"Caudry";"14220";"9";"13";"5";"1";"Caudry";"1";"1";"2";"3";"3";"4";"1";"2";"7"
